PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,category,
AJ Paul,Unrecoverable,320-U - Dataset,modeling,1233,Normal,1995,1998,,data lost,NOAA,pelagic,biological-fish,
Alan Mearns,Revised,Esamy Bay Site,habitat,1414,Normal,1989,2014,,,NOAA,nearshore,biological-benthicInverts,
Alan Mearns,Revised,Crab Bay Rocky,habitat,1414,Normal,1990,2014,,,NOAA,nearshore,biological-benthicInverts,
Alan Mearns,Revised,Landslide #1 time series,habitat,1414,Normal,1990,2014,,,NOAA,nearshore,biological-benthicInverts,
Alex Wertheimer,Emailed,project data follow-up,fish,818,Normal,1995,1998,,,NOAA,nearshore,biological-fish,
Alex Wertheimer,Emailed,hydrocarbon DB,fish,820,Normal,1989,1992,,,NOAA,nearshore,biological-fish,
Allen Macklin,Emailed,CD - Rob Bochenek may have,dataMgmt,1089,Normal,2004,2004,,,AOOS,other,social,
Andrew Hoffman,Replied,Project Data,fish,592,Normal,1989,1992,,,ADFG,nearshore,biological-fish,
Art Weiner,Unrecoverable,project data,monitoring,1336,Normal,1993,1995,,no contact info,ADNR,nearshore,physica,habitat restoration?
Art Weiner,Unrecoverable,project data,habitat,937,Normal,1993,1995,,no contact info,ADNR,nearshore,physical,
Asit Mazumder,Replied,project data,terrestrial,923,Normal,2003,2003,,,U. Vic,terrestrialFreshWater,chemical,
Babcock,Published,,inverts,,,1989,2000,musselBeds,,NOAA,nearshore,biological-benthicInverts,
Banta,Published,,inverts,,,1993,2009,inverts,,PWSRCAC,nearshore,biological-benthicInverts,
Batten,Published,,oceanography,,,2000,2009,plankton,,SAHFOS,pelagic,biological-plankton,
Batten,Published,,marineBirds,,,2002,2006,surveys,,SAHFOS,pelagic,biological-birds,
Batten,Published,,mammals,,,2002,2006,,,SAHFOS,pelagic,biological-mammals,
Betsy Parry,Replied,Project Data - no info,terrestrial,614,Normal,1995,1995,,,ADFG,terrestrialFreshWater,biological-benthicInverts,
Bill Ostrand,Replied,Project Data,marineBirds,540,Normal,1989,1990,,,APEX,pelagic,biological-birds,
Mary Anne Bishop,Published,,marineBirds,,,2011,2012,"Abun, habitat asso",,PWSSC,nearshore,biological-birds,
"Bishop, Kuletz",Published,,marineBirds,,,2009,2012,predation on Herring,,PWSSC,pelagic,biological-birds,
Bob Crumley,Unrecoverable,Student data - various - multiple CDs,misc projects,982,Normal,1996,2007,,data lost,Chugach School District,nearshore,biological-birds,??
Bob Day,Replied,Project Data,marineBirds,334,Normal,1996,1998,,,"UAF, ABR Inc.",nearshore,biological-birds,
Bob Day,Replied,Project Data,marineBirds,497,Normal,2000,2000,,,"UAF, ABR Inc.",nearshore,biological-birds,
Brad Andres,SentData,hydrocarbon database,marineBirds,884,Normal,1994,1994,,,USFWS,nearshore,biological-birds,
Brad Andres,SentData,hydrocarbon database,marineBirds,885,Normal,1989,1992,,,USFWS,nearshore,biological-birds,
Brad Andres,SentData,hydrocarbon database,marineBirds,882,Normal,1992,1992,,,USFWS,nearshore,biological-birds,
Brenda Ballachey,Replied,MM06-D: Sea Otter Prey Selection and Foraging Success in Western PWS,mammals,634,Normal,1992,1992,,,USGS,nearshore,biological-mammals,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,629,High,2001,2001,,,USGS,nearshore,biological-mammals,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,627,High,1993,1994,,,USGS,nearshore,biological-mammals,
Brenda Ballachey,Replied,MM06 series,mammals,634,High,1989,1989,,,USGS,nearshore,biological-mammals,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,617,High,2007,2010,,,USGS,nearshore,biological-mammals,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,fish,631,High,2004,2004,,,USGS,nearshore,biological-mammals,
Brenda Norcross,Replied,Project Data,fish,466,Low,2000,2000,,,UAF,,,
Brenda Norcross,Replied,local knowledge observations (GIS),fish,287,Normal,1995,1999,,,UAF,,,
