PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes
Jeep Rice,Replied,Project Data,fish,59,Low,2005,2005,NA,NA,NOAA,marine,biological-fish,
Brian Lance,Replied,Project Data,mammals,61,Normal,1993,2010,NA,NA,OSU,marine,biological-mammals,
Dan Rosenberg,Replied,Find data already submitted to EVOSTC,marineBirds,85,High,2000,2009,NA,NA,ADFG,marine,biological-birds,
Samuel Sharr,Emailed,create data set list for coded wire salmon tracking,fish,89,Normal,1992,1998,NA,NA,ADFG,marine,biological-fish,
Samuel Sharr,Emailed,Project Data,fish,91,Normal,1993,1995,NA,NA,ADFG,marine,biological-fish,
Dan Rosenberg,Replied,Project Data June,marineBirds,113,High,1994,1998,NA,NA,ADFG,marine,biological-birds,
Craig Matkin,Unrecoverable,Satellite tags,mammals,127,Normal,1995,2012,NA,unwilling to share,NGOS,marine,biological-mammals,
Thomas Kline,Unrecoverable,"2004, 2007-2009 data",fish,151,Normal,2004,2009,NA,unwilling to share,PWSSC,marine,biological-fish,
Phyllis Stabeno,Replied,Follow-up with Phyllis Stabeno about hydro stattion data from PWS,oceanography,162,Normal,2003,2004,NA,NA,NOAA,marine,physical,
Ron Heintz,Replied,Project Data,fish,197,Low,2004,2004,NA,NA,NOAA,marine,biological-fish,
Ron Heintz,Replied,RBase data,fish,198,Low,1999,2003,NA,NA,NOAA,marine,biological-fish,
Ron Heintz,Replied,Project Data,fish,199,Low,1998,2000,NA,NA,NOAA,marine,biological-fish,
Mark Carls,Replied,Access DB,oil,216,High,1989,2010,NA,NA,NOAA,marine,chemical,
Scott Hatch,Replied,"Project Data - retired, follow-up",marineBirds,219,Low,1995,1995,NA,NA,retired,marine,biological-birds,
Brenda Norcross,Replied,local knowledge observations (GIS),fish,287,Normal,1995,1999,NA,NA,UAF,marine,biological-fish,
Brenda Norcross,Replied,"Other data: length frequencies of herring, herring stomach contents, zooplankton collections, CTD  and larval fish data",fish,287,Normal,1995,1999,NA,NA,UAF,marine,biological-fish,
Brenda Norcross,Replied,Acoustic fish surveys,fish,287,Normal,1995,1999,NA,NA,UAF,marine,biological-fish,
Brenda Norcross,Replied,Models,fish,287,Normal,1995,1999,NA,NA,UAF,marine,biological-fish,
Dave Eslinger,Replied,Project Data,modeling,299,Normal,1996,1999,NA,NA,NOAA,marine,ecosystem/habitat,
Dick Thorne,Replied,Acoustic Dataset,fish,317,Normal,2001,2001,NA,NA,PWSSC,marine,biological-fish,
Dick Thorne,Replied,CTD Dataset,fish,317,Normal,2001,2001,NA,NA,PWSSC,marine,biological-fish,
Chris Habicht,Replied,Genotype Dataset,fish,321,Normal,1996,1999,NA,NA,ADFG,marine,biological-fish,
Bob Day,Replied,Project Data,marineBirds,334,Normal,1996,1998,NA,NA,"UAF, ABR Inc.",marine,biological-birds,
Dianne Munson,Unrecoverable,"Dianne Munson: Shoreline Assessment and Oil Removal near Chenega Bay in Prince William Sound, Alaska: 1994",oil,336,Normal,1994,1994,NA,data lost,ADEC (state),marine,chemical,
Gail Irvine,Replied,Project Data follow-up May,oil,336,Normal,1994,1994,NA,NA,USGS,marine,chemical,
Charles Swanton,Unrecoverable,Project Data - in fil report,fish,359,Normal,1989,1993,NA,data lost,ADFG,marine,biological-fish,
Tim Joyce,Replied,Follow-up Steve Moffitt about digital copies of the data,fish,377,High,1994,1999,NA,NA,ADFG,marine,biological-fish,
Ken Hodges,Unrecoverable,project data - origils lost,terrestrial,382,Normal,1994,1997,NA,data lost,USFS,terrestrial/freshWater,ecosystem/habitat,
Ted Otis,Replied,Follow-up with Ted about locating data,fish,385,Normal,2001,2002,NA,NA,ADFG,marine,biological-fish,
Shelton Gay,Replied,Project Data,fish,392,Normal,2007,2009,NA,NA,PWSSC,marine,biological-fish,
Gayle Hansen,Replied,Algae table - follow-up Sept. 2013,habitat,398,Low,2001,2001,NA,NA,OSU,marine,ecosystem/habitat,
Steve Klosiewski,Replied,Bird Survey Dataset,marineBirds,401,Normal,1989,1992,NA,NA,USFWS,marine,biological-birds,
Steve Honnold,Replied,Follow-up with Bruce summer 2013 about paper submission,fish,410,High,2004,2004,NA,NA,Idaho St. U.,marine,biological-fish,
Kathy Kuletz,Replied,Project Data,marineBirds,414,Normal,1989,1992,NA,NA,USFWS,marine,biological-birds,
Jia Wang,Replied,Follow-up for model code with Jia,modeling,432,Normal,2002,2002,NA,NA,UAF,marine,ecosystem/habitat,
David Irons,Replied,Kirsten Bixler getting data from thesis,marineBirds,433,High,2007,2007,NA,NA,USFWS,marine,biological-birds,
Jeep Rice,Replied,Acoustic data,fish,445,Normal,2007,2010,NA,NA,NOAA,marine,biological-fish,
Stephen Jewett,SentData,Hydrocarbons in nearshore fish tissue,oil,447,Normal,1998,1999,NA,NA,UAF,marine,chemical,
