PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,dataEditNotes
Jeep Rice,Replied,Project Data,fish,59,Low,2005,2005,,,NOAA,
Brian Lance,Replied,Project Data,mammals,61,Normal,1993,2010,,,OSU,
Dan Rosenberg,Replied,Find data already submitted to EVOSTC,marineBirds,85,High,2000,2009,,,ADFG,
Samuel Sharr,Emailed,create data set list for coded wire salmon tracking,fish,89,Normal,1992,1998,,,ADFG,
Samuel Sharr,Emailed,Project Data,fish,91,Normal,1993,1995,,,ADFG,
Dan Rosenberg,Replied,Project Data June,marineBirds,113,High,1994,1998,,,ADFG,
Craig Matkin,Unrecoverable,Satellite tags,mammals,127,Normal,1995,2012,,unwilling to share,NGOS,
Thomas Kline,Unrecoverable,"2004, 2007-2009 data",fish,151,Normal,2004,2009,,unwilling to share,PWSSC,
Phyllis Stabeno,Replied,Follow-up with Phyllis Stabeno about hydro stattion data from PWS,oceanography,162,Normal,2003,2004,,,NOAA,
Ron Heintz,Replied,Project Data,fish,197,Low,2004,2004,,,NOAA,
Ron Heintz,Replied,RBase data,fish,198,Low,1999,2003,,,NOAA,
Ron Heintz,Replied,Project Data,fish,199,Low,1998,2000,,,NOAA,
Mark Carls,Replied,Access DB,oil,216,High,1989,2010,,,NOAA,
Scott Hatch,Replied,"Project Data - retired, follow-up",marineBirds,219,Low,1995,1995,,,retired,
Brenda Norcross,Replied,local knowledge observations (GIS),fish,287,Normal,1995,1999,,,UAF,
Brenda Norcross,Replied,"Other data: length frequencies of herring, herring stomach contents, zooplankton collections, CTD  and larval fish data",fish,287,Normal,1995,1999,,,UAF,
Brenda Norcross,Replied,Acoustic fish surveys,fish,287,Normal,1995,1999,,,UAF,
Brenda Norcross,Replied,Models,fish,287,Normal,1995,1999,,,UAF,
Dave Eslinger,Replied,Project Data,modeling,299,Normal,1996,1999,,,NOAA,
Dick Thorne,Replied,Acoustic Dataset,fish,317,Normal,2001,2001,,,PWSSC,
Dick Thorne,Replied,CTD Dataset,fish,317,Normal,2001,2001,,,PWSSC,
Chris Habicht,Replied,Genotype Dataset,fish,321,Normal,1996,1999,,,ADFG,
Bob Day,Replied,Project Data,marineBirds,334,Normal,1996,1998,,,"UAF, ABR Inc.",
Dianne Munson,Unrecoverable,"Dianne Munson: Shoreline Assessment and Oil Removal near Chenega Bay in Prince William Sound, Alaska: 1994",oil,336,Normal,1994,1994,,data lost,ADEC (state),
Gail Irvine,Replied,Project Data follow-up May,oil,336,Normal,1994,1994,,,USGS,
Charles Swanton,Unrecoverable,Project Data - in fil report,fish,359,Normal,1989,1993,,data lost,ADFG,
Tim Joyce,Replied,Follow-up Steve Moffitt about digital copies of the data,fish,377,High,1994,1999,,,ADFG,
Ken Hodges,Unrecoverable,project data - origils lost,terrestrial,382,Normal,1994,1997,,data lost,USFS,
Ted Otis,Replied,Follow-up with Ted about locating data,fish,385,Normal,2001,2002,,,ADFG,
Shelton Gay,Replied,Project Data,fish,392,Normal,2007,2009,,,PWSSC,
Gayle Hansen,Replied,Algae table - follow-up Sept. 2013,habitat,398,Low,2001,2001,,,OSU,
Steve Klosiewski,Replied,Bird Survey Dataset,marineBirds,401,Normal,1989,1992,,,USFWS,
Steve Honnold,Replied,Follow-up with Bruce summer 2013 about paper submission,fish,410,High,2004,2004,,,Idaho St. U.,
Kathy Kuletz,Replied,Project Data,marineBirds,414,Normal,1989,1992,,,USFWS,
Jia Wang,Replied,Follow-up for model code with Jia,modeling,432,Normal,2002,2002,,,UAF,
David Irons,Replied,Kirsten Bixler getting data from thesis,marineBirds,433,High,2007,2007,,,USFWS,
Jeep Rice,Replied,Acoustic data,fish,445,Normal,2007,2010,,,NOAA,
Stephen Jewett,SentData,Hydrocarbons in nearshore fish tissue,oil,447,Normal,1998,1999,,,UAF,
Stephen Jewett,Unrecoverable,origils lost,terrestrial,453,Normal,1995,1999,,data lost,UAF,
Brenda Norcross,Replied,Project Data,fish,464,Low,1989,1989,,,UAF,
Brenda Norcross,Replied,Project Data,fish,466,Low,2000,2000,,,UAF,
Paul Anderson,Replied,Project Data,fish,484,Normal,1995,2000,,,APEX,
Dave Crowley,Unrecoverable,Harlequin breeding data - fil report,marineBirds,486,Normal,1991,1993,,non digital,ADFG,
Paul Anderson,Replied,Project Data,modeling,491,Normal,2000,2000,,,APEX,
Stephen Murphy,Replied,"all habitat data, nest visits, morphological - required EVOSTC letter",marineBirds,493,Low,1998,1998,,,ABR Inc.,
Bob Day,Replied,Project Data,marineBirds,497,Normal,2000,2000,,,"UAF, ABR Inc.",
Kathy Kuletz,Replied,Project Data,marineBirds,502,Normal,1994,1995,,,USFWS,
Kathy Kuletz,Replied,Project Data,marineBirds,504,Normal,1995,1996,,,USFWS,
Kathy Kuletz,Replied,Project Data,marineBirds,509,Normal,1997,1997,,,USFWS,
Kathy Kuletz,Replied,Project Data,marineBirds,511,Normal,1991,1992,,,USFWS,
David Nysewander,Unrecoverable,Other islands - Leslie provided fil reports,marineBirds,513,Normal,1989,1991,,non digital,WDFG,
David Nysewander,Unrecoverable,Arthur Kettle responded all data available is in fil reports,marineBirds,513,Normal,1989,1991,,non digital,WDFG,
Don Dragoo,Unrecoverable,Chiswell Islands - Leslie sent fil reports,marineBirds,515,Normal,1992,1992,,non digital,AMNWR,
Don Dragoo,Unrecoverable,Arthur Kettle responded all Barren Islands data available is in fil reports,marineBirds,515,Normal,1992,1992,,non digital,AMNWR,
Dave Roseneau,Unrecoverable,"1998, 2001 population census - leslie slater sent fil report",marineBirds,518,Normal,1996,2002,,non digital,USFWS,
Dave Roseneau,Unrecoverable,Arthur Kettle responded all Barren Islands data available is in fil reports,marineBirds,520,Normal,1995,2000,,non digital,USFWS,
Dave Roseneau,Unrecoverable,Arthur Kettle responded all Barren Islands data available is in fil reports,marineBirds,523,Normal,1993,1995,,non digital,USFWS,
Dave Roseneau,Unrecoverable,Arthur Kettle responded all data available is in fil reports,fish,527,Normal,1995,2000,,no contact info,USFWS,
Dick Thorne,Emailed,surveys,habitat,532,Normal,2004,2004,,,PWSSC,
Dick Thorne,Replied,Project Data,fish,534,Normal,2007,2007,,,PWSSC,
Paul Hershberger,Replied,Project Data,fish,536,Normal,2007,2007,,,USGS,
Bill Ostrand,Replied,Project Data,marineBirds,540,Normal,1989,1990,,,APEX,
Karen Oakley,SentData,Tissue hydrocarbon samples in Hydrocarbon Database,marineBirds,542,Normal,1989,1990,,,USFWS,
JJ Vollenweider,Emailed,Project Data,fish,545,Normal,2007,2010,,,NOAA,
Thomas Loughlin,Replied,Project Data,mammals,547,Normal,1989,1989,,,NOAA,
Tim Linley,Unrecoverable,Project Data fil report,fish,549,Normal,2007,2009,,non digital,MariCal,
Jenny Purcell,Replied,Project Data,fish,551,Normal,1998,2000,,,WWash Univ.,
Kenneth Currens,Replied,Project Data,fish,560,Normal,1996,1999,,,Idaho St. U.?,
Randall Davis,Replied,Project Data,mammals,562,Normal,1999,2002,,,Texas A&M,
Nick Dudiak,Unrecoverable,Project Data - no info,fish,564,Normal,1992,1992,,no contact info,ADFG,
David Evans,Replied,Project Data,fish,567,Normal,1989,1992,,,ADFG,
Brian Fadely,Replied,Project Data,mammals,570,Normal,1995,1998,,,NOAA,
Jim Fall,Replied,Project Data,mammals,572,Normal,1994,2000,,,ADFG,
Vicki Friesen,Replied,Project Data,marineBirds,574,Normal,1997,2000,,,APEX,
Hal Geiger,Unrecoverable,Project Data - origils hard copy,modeling,576,Normal,1990,1992,,requested funding,ADFG,
Gail Irvine,Replied,Project Data,habitat,581,Normal,2002,2003,,,USGS,
Gail Irvine,Replied,Project Data,oil,583,Normal,1999,1999,,,USGS,
Gail Irvine,Replied,Project Data,inverts,585,Normal,1991,1991,,,USGS,
Gail Irvine,Replied,Project Data,habitat,587,Normal,2004,2004,,,USGS,
Kelly Hepler,Unrecoverable,Project Data,fish,590,Normal,1989,1992,,data lost,ADFG,
