agency,agGrp,agSubGrp
NOAA,government,gov_fed
ADFG,government,gov_state
U. Vic,academia,academia
UAF,academia,academia
U. Montana,academia,academia
University of Central Florida,academia,academia
WWash Univ.,academia,academia
Texas A&M,academia,academia
Idaho St. U.?,academia,academia
UW,academia,academia
U. Great Falls,academia,academia
University of Washington,academia,academia
Idaho St. U.,academia,academia
OSU,academia,academia
USC,academia,academia
Alaska Pacific U.,academia,academia
Cornell Univ.,academia,academia
ADFG/independent,academia,academia
U Miami,academia,academia
University of Wyming,academia,academia
NJ Inst. Of Tech,academia,academia
UCD,academia,academia
USGS,government,gov_fed
State of Alaska,government,gov_state
WDFG,government,gov_state
KBRR (state),government,gov_state
USFS,government,gov_fed
Navy,government,gov_fed
Port Graham,government,gov_state
ADNR,government,gov_state
Chugach School District,government,gov_state
USFWS,government,gov_fed
DOI,government,gov_fed
FWS,government,gov_fed
ADEC (state),government,gov_state
AMNWR,government,gov_fed
Kodiak AK,government,gov_state
ADEC,government,gov_state
AK Dept of Envtl Cons,government,gov_state
ANMWR,government,gov_fed
SAHFOS,nonProf,nonProf
PWSSC,nonProf,nonProf
NGOS,nonProf,nonProf
EVOS,nonProf,nonProf
Alaska SeaLife Center,nonProf,nonProf
EVOSTC,nonProf,nonProf
Pratt Museum,nonProf,nonProf
UCSD,nonProf,nonProf
AOOS,nonProf,nonProf
PWSRCAC,nonProf,nonProf
Cook Inletkeeper,nonProf,nonProf
PWS Aquaculture Association,nonProf,nonProf
PWSAC,nonProf,nonProf
TNC,nonProf,nonProf
Bue Consulting,private,private
Environmental Laboratory,private,private
Sound Eco Adventures,private,private
ABR Inc,private,private
coble geophysics,private,private
Columbia analysitcal services,private,private
Golder Associates LTD,private,private
MariCal,private,private
APEX,private,private
URS,private,private
Ecological Consulting,private,private
Research & Plannning Inc.,private,private
Jellett Biotek Limited,private,private
Littoral Ecological & Environmental Services,private,private
Chugach Regional Resources Commission,private,private
retired,private,private
ABR Inc.,private,private
Chugachmiut,akNative,akNative
Sitka Tribe,akNative,akNative
