Status,category,start,end,secondaryCat,reason,agency,ecosystem,dataType,project
Replied,fish,2005,2005,NA,NA,NOAA,marine,biological-fish,Replied-59
Replied,mammals,1993,2010,NA,NA,OSU,marine,biological-mammals,Replied-61
Replied,marineBirds,2000,2009,NA,NA,ADFG,marine,biological-birds,Replied-85
Emailed,fish,1992,1998,NA,NA,ADFG,marine,biological-fish,Emailed-89
Emailed,fish,1993,1995,NA,NA,ADFG,marine,biological-fish,Emailed-91
Replied,marineBirds,1994,1998,NA,NA,ADFG,marine,biological-birds,Replied-113
Replied,oceanography,2003,2004,NA,NA,NOAA,marine,physical,Replied-162
Replied,fish,2004,2004,NA,NA,NOAA,marine,biological-fish,Replied-197
Replied,fish,1999,2003,NA,NA,NOAA,marine,biological-fish,Replied-198
Replied,fish,1998,2000,NA,NA,NOAA,marine,biological-fish,Replied-199
Replied,oil,1989,2010,NA,NA,NOAA,marine,oil,Replied-216
Replied,marineBirds,1995,1995,NA,NA,retired,marine,biological-birds,Replied-219
Replied,fish,1995,1999,NA,NA,UAF,marine,biological-fish,Replied-287
Replied,modeling,1996,1999,NA,NA,NOAA,marine,modeling,Replied-299
Replied,fish,2001,2001,NA,NA,PWSSC,marine,biological-fish,Replied-317
Replied,fish,1996,1999,NA,NA,ADFG,marine,biological-fish,Replied-321
Replied,marineBirds,1996,1998,NA,NA,"UAF, ABR Inc.",marine,biological-birds,Replied-334
Unrecoverable,fish,1989,1993,NA,data lost,ADFG,marine,biological-fish,Unrecoverable-359
Replied,fish,1994,1999,NA,NA,ADFG,marine,biological-fish,Replied-377
Unrecoverable,terrestrial,1994,1997,NA,data lost,USFS,terrestrial/freshWater,biological-habitat,Unrecoverable-382
Replied,fish,2001,2002,NA,NA,ADFG,marine,biological-fish,Replied-385
Replied,fish,2007,2009,NA,NA,PWSSC,marine,biological-fish,Replied-392
Replied,habitat,2001,2001,NA,NA,OSU,marine,biological-habitat,Replied-398
Replied,marineBirds,1989,1992,NA,NA,USFWS,marine,biological-birds,Replied-401
Replied,fish,2004,2004,NA,NA,Idaho St. U.,marine,biological-fish,Replied-410
Replied,marineBirds,1989,1992,NA,NA,USFWS,marine,biological-birds,Replied-414
Replied,modeling,2002,2002,NA,NA,UAF,marine,modeling,Replied-432
Replied,marineBirds,2007,2007,NA,NA,USFWS,marine,biological-birds,Replied-433
