PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes,project
Jeep Rice,Replied,Project Data,fish,59,Low,2005,2005,NA,NA,NOAA,marine,biological-fish,,Replied-59
Brian Lance,Replied,Project Data,mammals,61,Normal,1993,2010,NA,NA,OSU,marine,biological-mammals,,Replied-61
Dan Rosenberg,Replied,Find data already submitted to EVOSTC,marineBirds,85,High,2000,2009,NA,NA,ADFG,marine,biological-birds,,Replied-85
Samuel Sharr,Emailed,create data set list for coded wire salmon tracking,fish,89,Normal,1992,1998,NA,NA,ADFG,marine,biological-fish,,Emailed-89
Samuel Sharr,Emailed,Project Data,fish,91,Normal,1993,1995,NA,NA,ADFG,marine,biological-fish,,Emailed-91
Dan Rosenberg,Replied,Project Data June,marineBirds,113,High,1994,1998,NA,NA,ADFG,marine,biological-birds,,Replied-113
Phyllis Stabeno,Replied,Follow-up with Phyllis Stabeno about hydro stattion data from PWS,oceanography,162,Normal,2003,2004,NA,NA,NOAA,marine,physical,,Replied-162
Ron Heintz,Replied,Project Data,fish,197,Low,2004,2004,NA,NA,NOAA,marine,biological-fish,,Replied-197
Ron Heintz,Replied,RBase data,fish,198,Low,1999,2003,NA,NA,NOAA,marine,biological-fish,,Replied-198
Ron Heintz,Replied,Project Data,fish,199,Low,1998,2000,NA,NA,NOAA,marine,biological-fish,,Replied-199
Mark Carls,Replied,Access DB,oil,216,High,1989,2010,NA,NA,NOAA,marine,oil,,Replied-216
Scott Hatch,Replied,"Project Data - retired, follow-up",marineBirds,219,Low,1995,1995,NA,NA,retired,marine,biological-birds,,Replied-219
Brenda Norcross,Replied,local knowledge observations (GIS),fish,287,Normal,1995,1999,NA,NA,UAF,marine,biological-fish,,Replied-287
Dave Eslinger,Replied,Project Data,modeling,299,Normal,1996,1999,NA,NA,NOAA,marine,modeling,,Replied-299
Dick Thorne,Replied,Acoustic Dataset,fish,317,Normal,2001,2001,NA,NA,PWSSC,marine,biological-fish,,Replied-317
Chris Habicht,Replied,Genotype Dataset,fish,321,Normal,1996,1999,NA,NA,ADFG,marine,biological-fish,,Replied-321
Bob Day,Replied,Project Data,marineBirds,334,Normal,1996,1998,NA,NA,"UAF, ABR Inc.",marine,biological-birds,,Replied-334
Charles Swanton,Unrecoverable,Project Data - in fil report,fish,359,Normal,1989,1993,NA,data lost,ADFG,marine,biological-fish,,Unrecoverable-359
Tim Joyce,Replied,Follow-up Steve Moffitt about digital copies of the data,fish,377,High,1994,1999,NA,NA,ADFG,marine,biological-fish,,Replied-377
Ken Hodges,Unrecoverable,project data - origils lost,terrestrial,382,Normal,1994,1997,NA,data lost,USFS,terrestrial/freshWater,biological-habitat,,Unrecoverable-382
Ted Otis,Replied,Follow-up with Ted about locating data,fish,385,Normal,2001,2002,NA,NA,ADFG,marine,biological-fish,,Replied-385
Shelton Gay,Replied,Project Data,fish,392,Normal,2007,2009,NA,NA,PWSSC,marine,biological-fish,,Replied-392
Gayle Hansen,Replied,Algae table - follow-up Sept. 2013,habitat,398,Low,2001,2001,NA,NA,OSU,marine,biological-habitat,,Replied-398
Steve Klosiewski,Replied,Bird Survey Dataset,marineBirds,401,Normal,1989,1992,NA,NA,USFWS,marine,biological-birds,,Replied-401
Steve Honnold,Replied,Follow-up with Bruce summer 2013 about paper submission,fish,410,High,2004,2004,NA,NA,Idaho St. U.,marine,biological-fish,,Replied-410
Kathy Kuletz,Replied,Project Data,marineBirds,414,Normal,1989,1992,NA,NA,USFWS,marine,biological-birds,,Replied-414
Jia Wang,Replied,Follow-up for model code with Jia,modeling,432,Normal,2002,2002,NA,NA,UAF,marine,modeling,,Replied-432
David Irons,Replied,Kirsten Bixler getting data from thesis,marineBirds,433,High,2007,2007,NA,NA,USFWS,marine,biological-birds,,Replied-433
Stephen Jewett,SentData,Hydrocarbons in nearshore fish tissue,oil,447,Normal,1998,1999,NA,NA,UAF,marine,oil,,SentData-447
